distribution,flaw,magnitude,vis,parameter,id,index,training,correct,rt,vizIndex,excluded
normal,spike,10,density,0.035,55ea70c37480920010aa9982,42,0,1,6016,viz2,0
normal,spike,20,scatter,0.0875,55ea70c37480920010aa9982,43,0,1,4841,viz1,0
normal,spike,20,density,0.035,55ea70c37480920010aa9982,44,0,1,5591,viz6,0
normal,outliers,20,scatter,0.35,55ea70c37480920010aa9982,45,0,1,21368,viz2,0
normal,gap,15,histogram,28,55ea70c37480920010aa9982,46,0,0,11344,viz17,0
normal,spike,10,scatter,0.35,55ea70c37480920010aa9982,47,0,0,42384,viz5,0
normal,outliers,20,density,0.07,55ea70c37480920010aa9982,48,0,1,5734,viz18,0
normal,gap,10,scatter,0.175,55ea70c37480920010aa9982,49,0,1,9967,viz4,0
normal,spike,20,histogram,14,55ea70c37480920010aa9982,50,0,1,10431,viz1,0
normal,gap,10,density,0.035,55ea70c37480920010aa9982,51,0,0,58640,viz6,0
normal,spike,15,scatter,0.175,55ea70c37480920010aa9982,52,0,1,9232,viz5,0
normal,gap,15,histogram,7,55ea70c37480920010aa9982,53,0,0,38911,viz11,0
normal,gap,10,density,0.0175,55ea70c37480920010aa9982,54,0,1,13786,viz15,0
normal,outliers,10,scatter,0.35,55ea70c37480920010aa9982,55,0,1,6016,viz19,0
normal,outliers,15,histogram,14,55ea70c37480920010aa9982,56,0,0,24743,viz19,0
normal,spike,20,scatter,0.175,55ea70c37480920010aa9982,57,0,1,9287,viz9,0
normal,spike,10,scatter,0.175,55ea70c37480920010aa9982,58,0,1,7249,viz5,0
normal,gap,10,density,0.07,55ea70c37480920010aa9982,59,0,0,24904,viz4,0
normal,outliers,15,density,0.035,55ea70c37480920010aa9982,60,0,1,6696,viz20,0
normal,outliers,20,histogram,28,55ea70c37480920010aa9982,61,0,1,15151,viz2,0
normal,outliers,15,histogram,28,55ea70c37480920010aa9982,62,0,1,15800,viz18,0
normal,gap,20,density,0.0175,55ea70c37480920010aa9982,63,0,1,6840,viz17,0
normal,outliers,15,density,0.0175,55ea70c37480920010aa9982,64,0,1,7992,viz6,0
normal,outliers,20,density,0.035,55ea70c37480920010aa9982,65,0,1,9423,viz6,0
normal,gap,10,scatter,0.0875,55ea70c37480920010aa9982,66,0,0,34494,viz2,0
normal,outliers,15,density,0.07,55ea70c37480920010aa9982,67,0,1,16112,viz7,0
normal,spike,15,histogram,28,55ea70c37480920010aa9982,68,0,1,3719,viz16,0
normal,spike,15,density,0.0175,55ea70c37480920010aa9982,69,0,1,3944,viz17,0
normal,outliers,15,histogram,7,55ea70c37480920010aa9982,70,0,1,5937,viz10,0
normal,outliers,20,scatter,0.175,55ea70c37480920010aa9982,71,0,1,12599,viz17,0
normal,outliers,15,scatter,0.175,55ea70c37480920010aa9982,72,0,1,7177,viz6,0
normal,spike,20,density,0.07,55ea70c37480920010aa9982,73,0,1,16921,viz18,0
normal,outliers,10,histogram,28,55ea70c37480920010aa9982,74,0,1,27536,viz8,0
normal,gap,20,density,0.07,55ea70c37480920010aa9982,75,0,1,11239,viz16,0
normal,gap,20,histogram,7,55ea70c37480920010aa9982,76,0,0,20584,viz20,0
normal,spike,10,histogram,14,55ea70c37480920010aa9982,77,0,1,14553,viz4,0
normal,gap,15,density,0.07,55ea70c37480920010aa9982,78,0,0,20919,viz14,0
normal,gap,20,scatter,0.0875,55ea70c37480920010aa9982,79,0,1,5039,viz7,0
